index, time, temperature
0, 1615398660.0, 78.76
1, 1615398720.0, 78.33
2, 1615398780.0, 78.04
3, 1615398840.0, 78.26
4, 1615398900.0, 78.42
5, 1615398960.0, 78.60
6, 1615399020.0, 78.21
7, 1615399080.0, 78.62
8, 1615399140.0, 79.29
9, 1615399200.0, 79.50
10, 1615399260.0, 79.52
11, 1615399320.0, 79.66
12, 1615399380.0, 80.20
13, 1615399440.0, 80.82
14, 1615399500.0, 81.28
15, 1615399560.0, 81.52
16, 1615399620.0, 81.84
17, 1615399680.0, 82.00
18, 1615399740.0, 81.95
19, 1615399800.0, 81.50
20, 1615399860.0, 81.50
21, 1615399920.0, 81.34
22, 1615399980.0, 81.84
23, 1615400040.0, 81.52
24, 1615400100.0, 80.96
25, 1615400160.0, 80.37
26, 1615400220.0, 80.31
27, 1615400280.0, 80.60
28, 1615400340.0, 81.45
29, 1615400400.0, 82.13
30, 1615400460.0, 82.20
31, 1615400520.0, 82.20
32, 1615400580.0, 81.95
33, 1615400640.0, 81.54
34, 1615400700.0, 82.20
35, 1615400760.0, 82.13
36, 1615400820.0, 81.34
37, 1615400880.0, 81.54
38, 1615400940.0, 81.43
39, 1615401000.0, 81.39
40, 1615401060.0, 80.67
41, 1615401120.0, 80.42
42, 1615401180.0, 80.98
43, 1615401240.0, 81.18
44, 1615401300.0, 80.98
45, 1615401360.0, 81.43
46, 1615401420.0, 81.39
47, 1615401480.0, 81.43
48, 1615401540.0, 81.50
49, 1615401600.0, 81.28
50, 1615401660.0, 80.76
51, 1615401720.0, 80.64
52, 1615401780.0, 80.69
53, 1615401840.0, 81.63
54, 1615401900.0, 82.53
55, 1615401960.0, 82.47
56, 1615402020.0, 81.95
57, 1615402080.0, 81.82
58, 1615402140.0, 82.24
59, 1615402200.0, 82.15
60, 1615402260.0, 81.50
61, 1615402320.0, 81.30
62, 1615402380.0, 81.14
63, 1615402440.0, 81.01
64, 1615402500.0, 80.85
65, 1615402560.0, 81.09
66, 1615402620.0, 81.09
67, 1615402680.0, 81.52
68, 1615402740.0, 82.33
69, 1615402800.0, 82.51
70, 1615402860.0, 82.17
71, 1615402920.0, 82.31
72, 1615402980.0, 81.88
73, 1615403040.0, 81.84
74, 1615403100.0, 82.06
75, 1615403160.0, 82.22
76, 1615403220.0, 82.20
77, 1615403280.0, 81.64
78, 1615403340.0, 81.30
